,Unnamed: 0,Name,Location,city_coord,lat,long
40,40,Mother & Child Hospital,"Mother & Child Hospital. 39A, Adeniyi Jones Street, Ikeja. Lagos","(6.60882, 3.3429)",6.60882,3.3429
41,41,The Shepherd Medical Centre,"The Shepherd Medical Centre. 2, Salvation Road, Opebi. Lagos","(6.58956, 3.36158)",6.58956,3.36158
42,42,Bernice Hospital,"Bernice Hospital. Ishawo road, Ikorodu. Lagos","(6.58656, 3.52189)",6.58656,3.52189
43,43,El – Bethel Hospital,"El Bethel Hospital. Isawo Road, Ikorodu. Lagos","(6.648384163442, 3.477662453712)",6.648384163442,3.477662453712
44,44,Esso Hospital,"Esso Hospital. Itel Agbaku Street,Ikorodu. Lagos","(6.65, 3.58333)",6.65,3.58333
45,45,M – Cred Hospital,"M Cred Hospital. 5, Eunice Iyayi Street, Odogunyan, Ikorodu. Lagos","(6.6, 3.5)",6.6,3.5
46,46,Oak Hospital,"Oak Hospital. 197, Lagos Road, Ikorodu. Lagos","(6.624827569981, 3.482104246381)",6.624827569981,3.482104246381
47,47,Oladapo Medical Centre,Oladapo Medical Centre. Ijede Ikorodu,"(6.56421, 3.59715)",6.56421,3.59715
48,48,"St. Raphael Divine Mercy, Hopsital","St. Raphael Divine Mercy Hopsital. Ijede, Ikorodu.Lagos_x000D_
49,49,Ikorodu,Uzopean Hospital,Uzopean Hospital. 3","(6.573, 3.5925)",6.573,3.5925
49,49,Broad Hospital,"Broad Hospital. 17, Fehintola Street, Ikotun. Lagos","(6.55008, 3.26636)",6.55008,3.26636
50,50,Dayspring Hospital,"Dayspring Hospital. 1, Popoola Street, Ikotun. Lagos","(6.588720007142, 3.282099982389)",6.588720007142,3.282099982389
51,51,Mount Sinai Hospital,"Mount Sinai Hospital. 105, Isolo Road, Ikotun. Lagos","(6.54433, 3.26379)",6.54433,3.26379
52,52,Best Care Hospital,"Best Care Hospital. 2A, Keffi Street, SW, Ikoyi. Lagos","(6.45254, 3.43584)",6.45254,3.43584
